GBR_NAME,LABEL_ID,X_COORD,Y_COORD
Wizard Reef,11-156,143.0166626,-11.55002689
U/N Cay,11-156a,143.02023315,-11.5509243
U/N Cay,11-156b,143.01461792,-11.5537281
Bird Islands Reef (South),11-169,143.08561707,-11.78908348
U/N Cay,11-169a,143.08082581,-11.78606796
U/N Cay,11-169b,143.08473206,-11.78644562
Chimmo Shoal,11-170,143.24612427,-11.80407715
Guthray Reef,11-171,143.26498413,-11.80193138
U/N Reef,11-172,143.0092926,-11.80706882
Cockburn Reef,11-173,143.36331177,-11.82064915
Buchan Rock,11-173,143.31156921,-11.85377407
U/N Cay,11-173a,143.48051453,-11.83207893
U/N Cay,11-173b,143.47741699,-11.83376312
U/N Cay,11-173c,143.47532654,-11.83419037
U/N Cay,11-173d,143.47193909,-11.83572483
U/N Cay,11-173e,143.46231079,-11.84063721
U/N Cay,11-173f,143.43241882,-11.85250568
U/N Cay,11-173g,143.42243958,-11.85932446
U/N Cay,11-173h,143.41966248,-11.86147118
U/N Cay,11-173j,143.41793823,-11.86275482
U/N Cay,11-173k,143.41355896,-11.86489105
U/N Cay,11-173l,143.38616943,-11.88335228
U/N Cay,11-173m,143.38237,-11.88529015
U/N Cay,11-173n,143.3792572,-11.88601685
Magra Reef,11-174,143.28555298,-11.86389256
U/N Reef,11-175,143.29707336,-11.87399673
Rodney Reef,11-176,143.10734558,-11.89486122
U/N Rock,11-176,143.10858154,-11.89382172
U/N Reef,11-177,143.12910461,-11.9063139
Cockburn Patch,11-178,143.33795166,-11.91106606
Erlangen Patch,11-179,143.35099792,-11.91815186
Paluma Shoal,11-180,143.3105011,-11.920434
U/N Reef,11-159,143.17852783,-11.59020042
U/N Reef,11-160,143.42359924,-11.58607197
Viking Reef,11-161,143.01045227,-11.59418392
U/N Cay,11-161a,142.99717712,-11.58485508
U/N Cay,11-161b,143.01724243,-11.60223961
U/N Cay,11-162,143.28395081,-11.59905815
U/N Reef,11-162,143.29081726,-11.60404396
U/N Reef,11-163,143.52058411,-11.62067795
U/N Cay,11-164,143.31787109,-11.63685417
U/N Reef,11-164,143.43362427,-11.6906004
Thrush Reef,11-165,143.19277954,-11.7113266
Forwood Reef,11-166,143.2484436,-11.73574638
Bird Islands Reef (North),11-167,143.08876038,-11.77057457
U/N Cay,11-167c,143.08300781,-11.76741886
U/N Cay,11-167d,143.09036255,-11.7719059
U/N Cay,11-167e,143.09078979,-11.77519512
U/N Cay,11-167f,143.09542847,-11.77445316
U/N Cay,11-167g,143.09402466,-11.77561951
Fairway Reef,11-168,143.24330139,-11.75084782
Three Reefs,11-223,143.89483643,-11.76935005
U/N Reef,11-224,143.86940002,-11.7812767
U/N Reef,11-225,143.86950684,-11.79114723
U/N Reef,11-226,143.86431885,-11.80082989
U/N Reef,11-227,143.86500549,-11.80861473
Wood Reef,11-228,143.96910095,-11.80197906
Sunday Reef,11-181,143.20753479,-11.92708302
Bremner Shoal,11-182,143.21601868,-11.94352055
Outer Reef,11-183,143.24200439,-11.94246387
U/N Cay,11-184,143.37028503,-11.93153381
Queue Reef,11-184a,143.37141418,-11.93292141
Wreck Reef,11-184b,143.41717529,-11.94813156
Sir Charles Hardy Islands Reef,11-184c,143.4964447,-11.91147614
Nob Reef,11-185,143.26882935,-11.95176506
U/N Island,11-185b,143.26994324,-11.95004463
U/N Reef,11-186,143.27107239,-11.96063519
